owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,signature,descriptor,return_type,side,desc
a,a(int arg0),func_175744_a(int arg0),,,,,method,a(int arg0),(I)La;,,
a,a(String arg0),func_110646_a(String p_110646_0_),getTextWithoutFormattingCodes(String text),,,,method,a(String arg0),(Ljava/lang/String;)Ljava/lang/String;,2,"Returns a copy of the given string, with formatting codes stripped away."
a,"a(boolean arg0, boolean arg1)","func_96296_a(boolean arg0, boolean arg1)","getValidValues(boolean arg0, boolean arg1)",,,,method,"a(boolean arg0, boolean arg1)",(ZZ)Ljava/util/Collection;,2,"Gets all the valid values. Args: @param par0: Whether or not to include color values. @param par1: Whether or not to include fancy-styling values (anything that isn't a color value or the ""reset"" value)."
a,b(),func_175746_b(),getColorIndex(),,,,method,b(),()I,2,Returns the numerical color index that represents this formatting
a,b(String arg0),func_96300_b(String p_96300_0_),getValueByName(String friendlyName),,,,method,b(String arg0),(Ljava/lang/String;)La;,2,Gets a value by its friendly name; null if the given name does not map to a defined value.
a,c(),func_96301_b(),isFancyStyling(),,,,method,c(),()Z,2,False if this is just changing the color or resetting; true otherwise.
a,c(String arg0),func_175745_c(String arg0),,,,,method,c(String arg0),(Ljava/lang/String;)Ljava/lang/String;,,
a,d(),func_96302_c(),isColor(),,,,method,d(),()Z,2,Checks if this is a color code.
a,e(),func_96297_d(),getFriendlyName(),,,,method,e(),()Ljava/lang/String;,2,Gets the friendly name of this value.
a,toString(),toString(),,,,,method,toString(),()Ljava/lang/String;,,
a,values(),values(),,,,,method,values(),()[La;,,
aa,a(),func_82362_a(),getRequiredPermissionLevel(),,,,method,a(),()I,2,Return the required permission level for this command.
aa,a(),func_71515_b(),processCommand(),,,,method,a(),(Lm;[Ljava/lang/String;)V,2,Callback when the command is invoked
aa,"a(m arg0, String arg1, cj arg2)","func_180525_a(ICommandSender p_180525_1_, String p_180525_2_, BlockPos p_180525_3_)","addTabCompletionOptions(ICommandSender sender, String args, BlockPos pos)",,,,method,"a(m arg0, String arg1, cj arg2)",(Lm;[Ljava/lang/String;Lcj;)Ljava/util/List;,2,Return a list of options when the user types TAB
aa,c(),func_71517_b(),getCommandName(),,,,method,c(),()Ljava/lang/String;,2,Gets the name of the command
aa,c(m arg0),func_71518_a(ICommandSender p_71518_1_),getCommandUsage(ICommandSender sender),,,,method,c(m arg0),(Lm;)Ljava/lang/String;,2,Gets the usage string for the command.
aaa,a(int arg0),func_77647_b(int p_77647_1_),getMetadata(int damage),,,,method,a(int arg0),(I)I,2,Converts the given ItemStack damage value into a metadata value to be placed in the world when this Item is placed as a Block (mostly used with ItemBlocks).
